Disease	Acc_Id	Annotations	Annotated Genes	Strains	Matched By
Pleomorphic xanthoastrocytoma	HP:0033682	0			term
Pleural empyema	DOID:3798	3	Plau(3343 - Rat);Tnc(621057 - Rat);Trem1(1309467 - Rat)		term
Pleural empyema	HP:0011919	0			term
Pleural mesothelioma	HP:0100002	0			term
Pleuropulmonary blastoma	DOID:4769	3	Dicer1(1309381 - Rat);Fgf9(2610 - Rat);Yy1(3982 - Rat)		term
Pleuropulmonary blastoma	HP:0100528	0			term
Plummer-Vinson syndrome	DOID:9004304	0			term
Pneumococcal meningitis	DOID:9000113	22	Adam17(620404 - Rat);Aqp4(2143 - Rat);Atm(1593265 - Rat);Camp(1559878 - Rat);Cxcl1(619869 - Rat);Cysltr1(619796 - Rat);Cysltr2(619797 - Rat);Ido1(619989 - Rat);Il6(2901 - Rat);Lgals3(69356 - Rat);Lgals9(3005 - Rat);Marco(1589662 - Rat);Mmp2(621316 - Rat);Mmp9(621320 - Rat);Nod2(1306368 - Rat);Ntrk2(3213 - Rat);Rela(727889 - Rat);Serping1(735225 - Rat);Tlr2(735138 - Rat);Tlr4(3870 - Rat);Tlr9(631352 - Rat);Tnf(3876 - Rat)		term
Pneumoconiosis	DOID:10316	75	Acan(68358 - Rat);Ace(2493 - Rat);Ahr(2074 - Rat);Arg1(2150 - Rat);Arpc2(1305848 - Rat);Atf6(1305471 - Rat);Atp1a4(61952 - Rat);Atr(1305796 - Rat);Btnl2(620731 - Rat);C3(2232 - Rat);Car1(1309780 - Rat);Car3(2241 - Rat);Cat(2279 - Rat);Ccl2(3645 - Rat);Ccl7(1359152 - Rat);Ccr5(620596 - Rat);Cd28(2299 - Rat);Cd36(2301 - Rat);Cdh23(619760 - Rat);Cfd(2498 - Rat);Chia(1303058 - Rat);Clca1(1306258 - Rat);Cpm(1310532 - Rat);Csf2(621065 - Rat);Ctla4(61975 - Rat);Cyp2e1(2475 - Rat);Ddit3(62391 - Rat);Egr1(2544 - Rat);Eln(67394 - Rat);Ephx1(2557 - Rat);Flacc1(1359362 - Rat);Gclm(619871 - Rat);Gstm1(2755 - Rat);Gstt1(2765 - Rat);H3f4(1583877 - Rat);Hmox1(2806 - Rat);Hnrnpa3(727807 - Rat);Hs3st6(1584381 - Rat);Hspa5(2843 - Rat);Il17a(2888 - Rat);Il1a(2890 - Rat);Il1b(2891 - Rat);Il1rn(621159 - Rat);Il27ra(1305029 - Rat);Il2ra(2895 - Rat);Il4(2898 - Rat);Il6(2901 - Rat);Jun(2943 - Rat);Marco(1589662 - Rat);Mdm4(1309306 - Rat);Mmp13(620196 - Rat);Nlrp3(1308314 - Rat);Nos2(3185 - Rat);Pdzrn4(1308860 - Rat);Prdx1(620039 - Rat);Prdx2(3838 - Rat);Prkcb(3396 - Rat);Pten(61995 - Rat);Ptprz1(3455 - Rat);RT1-Bb(3469 - Rat);RT1-Db1(1593282 - Rat);Rbm26(1308297 - Rat);Rtel1(1306721 - Rat);Serpina1(3326 - Rat);Spp1(3752 - Rat);Sting1(1562552 - Rat);Tert(70494 - Rat);Tgfb1(69051 - Rat);Ticam1(1590868 - Rat);Tmprss3(1310135 - Rat);Tnc(621057 - Rat);Tnf(3876 - Rat);Tnfrsf1a(621237 - Rat);Tnfrsf1b(621238 - Rat);Tpm4(3899 - Rat)		term
Pneumocystosis	DOID:11339	15	Azin1(61934 - Rat);C3(2232 - Rat);Ccl2(3645 - Rat);Cd40(619830 - Rat);Csf2(621065 - Rat);Il23a(620873 - Rat);Il33(1311155 - Rat);Muc1(3122 - Rat);Nos2(3185 - Rat);RT1-Bb(3469 - Rat);Sftpa1(3665 - Rat);Sftpb(621700 - Rat);Sftpc(3666 - Rat);Sftpd(3667 - Rat);Tlr2(735138 - Rat)		term
POEMS syndrome	DOID:14039	0			term
Poikiloderma with neutropenia	DOID:0060551	1	Usb1(1305215 - Rat)		term
Poland syndrome	DOID:12961	0			term
Poliomyelitis	DOID:4953	2	Crp(2411 - Rat);Pvr(3813 - Rat)		term
Polyarteritis nodosa	DOID:9810	16	Atp6v1e1(735157 - Rat);Bcl2l13(1306985 - Rat);Bid(620160 - Rat);Cecr2(1564182 - Rat);Cx3cl1(620458 - Rat);Eln(67394 - Rat);Fgf2(2609 - Rat);Gdnf(2677 - Rat);Gfra1(2681 - Rat);Hdhd5(1306557 - Rat);Il17ra(1306559 - Rat);Mical3(1359504 - Rat);Pex26(1584998 - Rat);Slc25a18(1590470 - Rat);Tmem121b(1565302 - Rat);Vegfa(619991 - Rat)		term
Polycythemia	DOID:8432	28	Ace(2493 - Rat);Atm(1593265 - Rat);Bcl2l1(2200 - Rat);Bpgm(735018 - Rat);Brk1(1598136 - Rat);Cd36(2301 - Rat);Egln1(631375 - Rat);Elane(1307968 - Rat);Epas1(68404 - Rat);Epo(2559 - Rat);Epor(2560 - Rat);Fancd2(1303172 - Rat);Fancd2os(1565997 - Rat);Gata1(2663 - Rat);Gh1(2686 - Rat);Gsr(621747 - Rat);Gstm1(2755 - Rat);Hba-a2(1359364 - Rat);Hba-a3(1359209 - Rat);Hbb(2783 - Rat);Hfe(2793 - Rat);Insl6(62061 - Rat);Jak1(69056 - Rat);Jak2(2939 - Rat);Serpine1(3249 - Rat);Sh2b3(68411 - Rat);Slc30a10(1305098 - Rat);Vhl(3960 - Rat)		term
Polycythemia	HP:0001901	0			term
Polycythemia	MP:0002872	0			term
Polycythemia vera	DOID:8997	13	Atm(1593265 - Rat);Bcl2l1(2200 - Rat);Cd36(2301 - Rat);Elane(1307968 - Rat);Epor(2560 - Rat);Gsr(621747 - Rat);Gstm1(2755 - Rat);Hba-a2(1359364 - Rat);Hbb(2783 - Rat);Hfe(2793 - Rat);Insl6(62061 - Rat);Jak1(69056 - Rat);Jak2(2939 - Rat)		term
Polyendocrine-polyneuropathy syndrome	DOID:9004244	1	Dmxl2(1586163 - Rat)		term
Polymicrogyria	DOID:0080918	15	Adgrg1(628617 - Rat);Atp1a2(2168 - Rat);Ccnd2(621083 - Rat);Col3a1(71029 - Rat);Fig4(1311375 - Rat);Lama2(1308889 - Rat);Lama5(621023 - Rat);Lingo4(1562025 - Rat);Ofd1(1562231 - Rat);Pi4ka(621213 - Rat);Rttn(1306706 - Rat);Scn3a(3635 - Rat);Setd5(1310433 - Rat);Tuba1a(619717 - Rat);Wdr62(1306714 - Rat)		term
Polymicrogyria	HP:0002126	0			term
Polymicrogyria with optic nerve hypoplasia	DOID:9006775	1	Tuba8(1566041 - Rat)		term
Polymyalgia rheumatica	DOID:853	6	Crh(620505 - Rat);Crp(2411 - Rat);Hfe(2793 - Rat);Mbl2(67380 - Rat);Mmp3(621317 - Rat);Pecam1(61927 - Rat)		term
Polymyositis	DOID:0080745	40	Angptl2(620004 - Rat);C2(2231 - Rat);C3(2232 - Rat);C9(620319 - Rat);Ccr2(620876 - Rat);Cd36(2301 - Rat);Cd40(619830 - Rat);Cd40lg(708418 - Rat);Cfb(2204 - Rat);Cx3cl1(620458 - Rat);Cyp27b1(69192 - Rat);Eln(67394 - Rat);Fas(619831 - Rat);Gstm1(2755 - Rat);Havcr2(1305233 - Rat);Hgf(2794 - Rat);Ifng(2866 - Rat);Il18(2889 - Rat);Il1a(2890 - Rat);Il1b(2891 - Rat);Il4(2898 - Rat);Il6(2901 - Rat);Lta(3020 - Rat);Mbl2(67380 - Rat);Mmp1(1307917 - Rat);Mmp9(621320 - Rat);Otulin(2324500 - Rat);Pms1(1359511 - Rat);RT1-Ba(1595867 - Rat);RT1-CE13(1359196 - Rat);Serpina1(3326 - Rat);Stat4(1305747 - Rat);Thbd(621299 - Rat);Tlr2(735138 - Rat);Tlr4(3870 - Rat);Tlr9(631352 - Rat);Tnf(3876 - Rat);Tnfrsf1a(621237 - Rat);Tnfrsf1b(621238 - Rat);Vdr(3959 - Rat)		term
Polyostotic fibrous dysplasia	HP:0010735	0			term
Polyostotic fibrous dysplasia	MP:0031350	0			term
Polyploidy	DOID:9005779	4	Chek1(620545 - Rat);Fzr1(1308713 - Rat);H2ax(1566119 - Rat);Tp53(3889 - Rat)		term
Polyploidy	MP:0004025	0			term
Polysyndactyly	MP:0004083	0			term
Pontiac fever	DOID:0050150	0			term
Pontocerebellar hypoplasia type 1	DOID:0112322	17	Ampd2(2110 - Rat);Atoh1(1565171 - Rat);Chmp1a(1311083 - Rat);Exosc1(1591855 - Rat);Exosc3(1304739 - Rat);Exosc8(1306169 - Rat);Exosc9(1307888 - Rat);Rars2(1305419 - Rat);Sepsecs(1589491 - Rat);Slc25a46(1305072 - Rat);Slc35a1(1311359 - Rat);Tbc1d23(1307925 - Rat);Tsen2(1309946 - Rat);Tsen34(1359564 - Rat);Tsen54(1597379 - Rat);Vps53(1311391 - Rat);Vrk1(1306069 - Rat)		term
Pontocerebellar hypoplasia type 10	DOID:0060279	1	Clp1(1307679 - Rat)		term
Pontocerebellar hypoplasia type 11	DOID:0112324	1	Tbc1d23(1307925 - Rat)		term
Pontocerebellar hypoplasia type 12	DOID:0112327	1	Coasy(1549767 - Rat)		term
Pontocerebellar hypoplasia type 13	DOID:0112332	1	Vps51(2319165 - Rat)		term
Pontocerebellar hypoplasia type 14	DOID:0112325	1	Ppil1(1309119 - Rat)		term
Pontocerebellar hypoplasia type 2	DOID:0112328	6	Sepsecs(1589491 - Rat);Tsen15(1308584 - Rat);Tsen2(1309946 - Rat);Tsen34(1359564 - Rat);Tsen54(1597379 - Rat);Vps53(1311391 - Rat)		term
Pontocerebellar hypoplasia type 3	DOID:0060272	1	Pclo(69406 - Rat)		term
Pontocerebellar hypoplasia type 4	DOID:0060273	1	Tsen54(1597379 - Rat)		term
Pontocerebellar hypoplasia type 6	DOID:0060275	2	Rars2(1305419 - Rat);Slc35a1(1311359 - Rat)		term
Pontocerebellar hypoplasia type 7	DOID:0060276	1	Toe1(1309094 - Rat)		term
Pontocerebellar hypoplasia type 8	DOID:0060277	1	Chmp1a(1311083 - Rat)		term
Pontocerebellar hypoplasia type 9	DOID:0060278	1	Ampd2(2110 - Rat)		term
Popliteal pterygium syndrome	DOID:0060055	3	Chuk(1306661 - Rat);Irf6(1309645 - Rat);Ripk4(1311691 - Rat)		term
Porencephaly	DOID:0060263	3	Col4a1(1307148 - Rat);Col4a2(1308085 - Rat);Kat6b(1566399 - Rat)		term
Poretti-Boltshauser syndrome	DOID:9008073	1	Lama1(1307207 - Rat)		term
Porokeratosis	DOID:3805	7	Fdps(68953 - Rat);Mmab(1596242 - Rat);Mvd(621292 - Rat);Mvk(621295 - Rat);Pmvk(1310812 - Rat);Sart3(1311646 - Rat);Slc17a9(1311940 - Rat)		term
Porokeratosis	HP:0200044	0			term
Porphyria	DOID:13268	23	Abcb6(71077 - Rat);Abcg2(631345 - Rat);Alad(2083 - Rat);Alas1(68392 - Rat);Alas2(2084 - Rat);Areg(2149 - Rat);Btc(620275 - Rat);Clpx(1304883 - Rat);Cpox(1311817 - Rat);Cyp1a1(2458 - Rat);Cyp1a2(2459 - Rat);Dpagt1(735124 - Rat);Epo(2559 - Rat);Ereg(620299 - Rat);Fech(1307556 - Rat);G6pd(2645 - Rat);Gata1(2663 - Rat);Gstm1(2755 - Rat);Hfe(2793 - Rat);Hmbs(2801 - Rat);Ppox(1310543 - Rat);Urod(3946 - Rat);Uros(1310396 - Rat)		term
Porphyria	MP:0005654	0			term
Porphyria cutanea tarda	DOID:3132	7	Alad(2083 - Rat);Cpox(1311817 - Rat);Cyp1a1(2458 - Rat);Cyp1a2(2459 - Rat);Gstm1(2755 - Rat);Hfe(2793 - Rat);Urod(3946 - Rat)		term
Postaxial acrofacial dysostosis	DOID:0111259	1	Dhodh(68352 - Rat)		term
Postaxial polydactyly type A	HP:0005696	0			term
Posterior amorphous corneal dystrophy	DOID:0060452	0			term
Posterior polymorphous corneal dystrophy	DOID:0060457	6	Col8a2(1305182 - Rat);Grhl2(1561191 - Rat);Ovol2(1306130 - Rat);Slc4a11(1310188 - Rat);Vsx1(1305667 - Rat);Zeb1(3831 - Rat)		term
Posterior uveitis	DOID:12574	11	Ccl5(69069 - Rat);Ccr2(620876 - Rat);Ccr5(620596 - Rat);Cfb(2204 - Rat);Cfh(620428 - Rat);Col2a1(2375 - Rat);Ifng(2866 - Rat);Il10(2886 - Rat);Il2(620047 - Rat);Il6(2901 - Rat);RT1-CE13(1359196 - Rat)		term
Posterior uveitis	HP:0012123	0			term
Postpoliomyelitis syndrome	DOID:4952	0			term
Potocki-Lupski syndrome	DOID:0060853	42	Akap10(1308869 - Rat);Aldh3a1(2088 - Rat);Aldh3a2(61866 - Rat);Alkbh5(1309496 - Rat);Atpaf2(1305161 - Rat);B9d1(1305522 - Rat);Cops3(1303002 - Rat);Drc3(1309150 - Rat);Drg2(1562380 - Rat);Epn2(619773 - Rat);Fam83g(2322345 - Rat);Fbxw10(1563889 - Rat);Flcn(735088 - Rat);Flii(1307590 - Rat);Gid4(1588894 - Rat);Grap(1306884 - Rat);Llgl1(3012 - Rat);Mapk7(621505 - Rat);Med9(1563669 - Rat);Mfap4(1307841 - Rat);Mief2(1560728 - Rat);Mprip(619947 - Rat);Myo15a(1561873 - Rat);Nt5m(1309622 - Rat);Pemt(3297 - Rat);Pld6(1311987 - Rat);Prpsap2(620207 - Rat);Rai1(1308500 - Rat);Rasd1(619727 - Rat);Rnf112(3986 - Rat);Shmt1(1312011 - Rat);Slc47a1(1311123 - Rat);Slc47a2(1562382 - Rat);Slc5a10(1305232 - Rat);Smcr8(1564621 - Rat);Specc1(1309718 - Rat);Srebf1(69423 - Rat);Tnfrsf13b(1595998 - Rat);Tom1l2(1306728 - Rat);Top3a(1309320 - Rat);Tvp23b(1586539 - Rat);Ulk2(1310181 - Rat)		term
Potocki-Shaffer syndrome	DOID:0111687	0			term
Pouchitis	DOID:9006064	0			term
Prader-Willi syndrome	DOID:11983	17	Atp10a(1306150 - Rat);Cyfip1(1310332 - Rat);Gabra5(61859 - Rat);Gabrb3(2651 - Rat);Gabrg3(621735 - Rat);Ghrl(632283 - Rat);Hcrt(2786 - Rat);Herc2(1307989 - Rat);Htr2c(2848 - Rat);Magel2(1583615 - Rat);Mkrn3(1311197 - Rat);Ndn(1310526 - Rat);Oca2(2318412 - Rat);Sim1(1309949 - Rat);Snrpn(621306 - Rat);Snurf(69269 - Rat);Ube3a(1306361 - Rat)		term
Preeclampsia	HP:0100602	0			term
Premature aging	DOID:9002644	66	Ank3(620157 - Rat);App(2139 - Rat);Arhgap1(1306068 - Rat);Banf1(620662 - Rat);Bax(2192 - Rat);Bcl2(2199 - Rat);Bmal1(62003 - Rat);Brca1(2218 - Rat);Bub3(1306654 - Rat);Cdc14b(1311163 - Rat);Cdkn1a(69328 - Rat);Cdkn2a(2323 - Rat);Cisd2(1566242 - Rat);Clrn1(628779 - Rat);Coq7(2381 - Rat);Eef1e1(1311056 - Rat);Efemp1(1308528 - Rat);Eif1ad(1304686 - Rat);Eif5a2(1306196 - Rat);Ercc1(1306992 - Rat);Ercc4(1560340 - Rat);Ercc6(1311509 - Rat);Ext1(1587375 - Rat);Eya1(1584849 - Rat);Fgf23(620178 - Rat);Foxo1(620283 - Rat);Gh1(2686 - Rat);Greb1l(1562371 - Rat);Gsr(621747 - Rat);Hells(1309820 - Rat);Hif1a(61928 - Rat);Hmgb1(2802 - Rat);Htra2(1308906 - Rat);Igf1(2868 - Rat);Igf1r(2869 - Rat);Kl(620396 - Rat);Lmna(620456 - Rat);Mapt(69329 - Rat);Mdm2(1305332 - Rat);Mt1(3117 - Rat);Mtx2(1306473 - Rat);Nfe2l2(620360 - Rat);Nudt1(621080 - Rat);Pax1(1588548 - Rat);Pdgfrb(3285 - Rat);Pold1(621839 - Rat);Polg(620057 - Rat);Polr3a(1305574 - Rat);Ptpn11(3447 - Rat);Purg(1305088 - Rat);Pycr1(1307863 - Rat);Sirt6(1305216 - Rat);Six1(620906 - Rat);Six4(1306726 - Rat);Six5(1305040 - Rat);Six6(1310497 - Rat);Slc25a24(1311982 - Rat);Slc9b1(1305087 - Rat);Sprtn(1559496 - Rat);Sun1(1359142 - Rat);Tfap2a(1310267 - Rat);Tjp2(619807 - Rat);Tp53(3889 - Rat);Vcpip1(708520 - Rat);Wrn(1564788 - Rat);Zmpste24(1305570 - Rat)		term
Premature aging	MP:0003786	0			term
Primary adrenal insufficiency	HP:0008207	0			term
Primary angiitis of the central nervous system	DOID:9009024	0			term
Primary biliary cholangitis	DOID:12236	99	Abca1(631344 - Rat);Abcb4(620248 - Rat);Abcc2(2366 - Rat);Abcg2(631345 - Rat);Ace(2493 - Rat);Ace2(728890 - Rat);Agt(2069 - Rat);Alb(2085 - Rat);Aqp4(2143 - Rat);Ccl5(69069 - Rat);Ccn2(621392 - Rat);Cd3d(2304 - Rat);Cd80(2314 - Rat);Cdh5(1307370 - Rat);Cdkn1a(69328 - Rat);Cenpb(1304794 - Rat);Clec16a(1305773 - Rat);Col1a1(61817 - Rat);Cpeb1(1310421 - Rat);Cpeb4(1311931 - Rat);Ctla4(61975 - Rat);Cxcl10(620209 - Rat);Cxcl9(628798 - Rat);Cxcr5(62010 - Rat);Cygb(69415 - Rat);Dag1(621890 - Rat);Dennd1b(1308441 - Rat);Dnase1(2510 - Rat);Entpd2(69266 - Rat);Fas(619831 - Rat);Foxp3(1562112 - Rat);Hamp(70971 - Rat);Hhip(1564108 - Rat);Hif1a(61928 - Rat);Hmox1(2806 - Rat);Icam1(2857 - Rat);Ifng(2866 - Rat);Igfbp1(2872 - Rat);Il10(2886 - Rat);Il12a(620562 - Rat);Il12b(628704 - Rat);Il12rb1(620025 - Rat);Il4(2898 - Rat);Il7r(1309776 - Rat);Jak2(2939 - Rat);Keap1(621619 - Rat);Krt18(619935 - Rat);Krt7(1310865 - Rat);Lbr(620813 - Rat);Lep(3000 - Rat);Lepr(3001 - Rat);Lox(3015 - Rat);Loxl2(1308435 - Rat);Map3k14(1310487 - Rat);Mapk14(70496 - Rat);Mas1(3049 - Rat);Met(3082 - Rat);Mir21(2325598 - Rat);Mir223(2325543 - Rat);Mmel1(1309299 - Rat);Mmp13(620196 - Rat);Mmp2(621316 - Rat);Mmp3(621317 - Rat);Mmp9(621320 - Rat);Muc2(3123 - Rat);Nfe2l2(620360 - Rat);Nfkb1(70498 - Rat);Nos2(3185 - Rat);Nos3(3186 - Rat);Nr1h4(628831 - Rat);Nr3c1(2741 - Rat);Nsa2(621335 - Rat);Nup62(619938 - Rat);Pde5a(620995 - Rat);Ppargc1a(620925 - Rat);RT1-Ba(1595867 - Rat);Rela(727889 - Rat);Ren(3554 - Rat);Rps6kb1(620683 - Rat);Slc4a2(3711 - Rat);Slc51a(1311100 - Rat);Slc51b(1565748 - Rat);Slco1a1(3700 - Rat);Slco1c1(628660 - Rat);Sod2(3732 - Rat);Spib(1565899 - Rat);Spint1(1303138 - Rat);Spint2(735123 - Rat);Stat4(1305747 - Rat);Tgfb1(69051 - Rat);Tlr9(631352 - Rat);Tnf(3876 - Rat);Tnfrsf1a(621237 - Rat);Tyk2(2320469 - Rat);Ubd(69418 - Rat);Utp4(1311341 - Rat);Vdr(3959 - Rat);Vegfa(619991 - Rat);Zc3h12a(1306776 - Rat)		term
Primary central nervous system lymphoma	HP:0030069	0			term
Primary ciliary dyskinesia	DOID:9562	188	Abcg1(620294 - Rat);Adarb1(2033 - Rat);Agpat3(1305787 - Rat);Aire(1311139 - Rat);Ak7(1309600 - Rat);Aldh6a1(621556 - Rat);Anln(1561367 - Rat);Aoah(1560514 - Rat);Ap1b1(2064 - Rat);Bbof1(1560978 - Rat);C2cd2(735112 - Rat);Cbs(2287 - Rat);Cby1(708481 - Rat);Ccdc103(1562370 - Rat);Ccdc39(1306277 - Rat);Ccdc40(1592118 - Rat);Ccdc65(1595842 - Rat);Ccno(1565217 - Rat);Cdca7l(1564080 - Rat);Cenpf(628667 - Rat);Cfap221(1584968 - Rat);Cfap298(1306954 - Rat);Cfap300(1591894 - Rat);Cfap410(1309594 - Rat);Cfap57(1585948 - Rat);Col18a1(70936 - Rat);Col6a1(1565398 - Rat);Col6a2(1305585 - Rat);Coq6(1311149 - Rat);Cplx1(70944 - Rat);Cryaa(2413 - Rat);Cstb(2435 - Rat);Cybb(620574 - Rat);Daw1(1561436 - Rat);Dnaaf1(1310542 - Rat);Dnaaf11(1559937 - Rat);Dnaaf2(1310311 - Rat);Dnaaf3(2323487 - Rat);Dnaaf4(1549760 - Rat);Dnaaf5(1566028 - Rat);Dnaaf6(1566312 - Rat);Dnah1(621795 - Rat);Dnah11(621088 - Rat);Dnah5(1560828 - Rat);Dnah7(621798 - Rat);Dnah8(619986 - Rat);Dnah9(621799 - Rat);Dnai1(1565671 - Rat);Dnai2(1359602 - Rat);Dnajb13(1359131 - Rat);Dnal1(1591349 - Rat);Dnmt3l(1303239 - Rat);Dpcd(1307648 - Rat);Drc1(1359318 - Rat);Dynlt1(620261 - Rat);Dynlt3(1549755 - Rat);Elmo1(1308182 - Rat);Entpd5(735219 - Rat);Ezr(621161 - Rat);FAM187A(1307851 - Rat);Fam161b(1309058 - Rat);Fndc1(1310640 - Rat);Foxj1(621764 - Rat);Ftcd(70915 - Rat);Gaa(735227 - Rat);Gas2l2(1307868 - Rat);Gas8(1307817 - Rat);Gatd3a(1303003 - Rat);Gfap(2679 - Rat);Gpr141(727906 - Rat);Gprc6a(735077 - Rat);Gtf2h5(1560991 - Rat);H2ap(1563155 - Rat);Hsf2bp(1565879 - Rat);Hycc1(1562906 - Rat);Hydin(1562254 - Rat);Icoslg(1562791 - Rat);Il6(2901 - Rat);Itgb2(1305581 - Rat);Klhl7(1305564 - Rat);Kpna5(1561324 - Rat);Krtap12-1(2319481 - Rat);Krtap12-2(2319746 - Rat);Krtap12-4(2319709 - Rat);LOC100365646(2318639 - Rat);LOC690460(1596048 - Rat);LOC690478(1596032 - Rat);LOC691354(1585063 - Rat);Lin52(1306798 - Rat);Lrr1(1589026 - Rat);Lrrc3(628861 - Rat);Lrrc56(1311654 - Rat);Lss(620955 - Rat);Matcap2(1561444 - Rat);Mbl2(67380 - Rat);Mcidas(1584164 - Rat);Mcm3ap(1306834 - Rat);Mgat2(620098 - Rat);Mideas(1306119 - Rat);Ndufv3(621020 - Rat);Nek10(1564342 - Rat);Nme5(1583004 - Rat);Nme8(735069 - Rat);Odad1(1308141 - Rat);Odad2(1306933 - Rat);Odad3(1310048 - Rat);Odad4(1311859 - Rat);Ofd1(1562231 - Rat);Otc(3236 - Rat);Pcbp3(1307430 - Rat);Pcnt(1595865 - Rat);Pcsk5(620326 - Rat);Pde9a(621035 - Rat);Pfkl(3311 - Rat);Pknox1(1305003 - Rat);Pnma1(621230 - Rat);Pofut2(1307334 - Rat);Pole2(1311962 - Rat);Polr1c(1309689 - Rat);Polr2k(2319895 - Rat);Prdm15(1310055 - Rat);Prkar1b(3392 - Rat);Ptgr2(1310518 - Rat);Pttg1ip(1305983 - Rat);Pwp2(1582817 - Rat);RGD1564149(1564149 - Rat);Rag1(619790 - Rat);Rapgef5(1561668 - Rat);Rfx6(1307491 - Rat);Ripk4(1311691 - Rat);Rn7sl1(8157638 - Rat);Rpgr(1560136 - Rat);Rpl36al(621156 - Rat);Rps29(3596 - Rat);Rrp1(1307286 - Rat);Rrp1b(1305633 - Rat);Rsph1(1307712 - Rat);Rsph3(1311306 - Rat);Rsph4a(1307229 - Rat);Rsph9(1310693 - Rat);Serac1(1565064 - Rat);Sfrp4(621075 - Rat);Sik1(69407 - Rat);Slc19a1(3695 - Rat);Slc37a1(1308587 - Rat);Slit2(69310 - Rat);Slx9(1311257 - Rat);Sod2(3732 - Rat);Sp4(3741 - Rat);Spag1(1310702 - Rat);Spatc1l(1562578 - Rat);Spef2(620450 - Rat);Srpx(70950 - Rat);Stk36(1307318 - Rat);Sumo3(1561022 - Rat);Sun1(1359142 - Rat);Sytl3(1561992 - Rat);Sytl5(631342 - Rat);Taf1c(1305658 - Rat);Tagap(1308618 - Rat);Tff1(620707 - Rat);Tff2(620709 - Rat);Tff3(3847 - Rat);Tmem181(1566403 - Rat);Tmprss3(1310135 - Rat);Tnni3(62052 - Rat);Tnnt1(621852 - Rat);Tomm7(1591393 - Rat);Tp73(1307083 - Rat);Trappc10(1311263 - Rat);Trpm2(1311889 - Rat);Tspear(1563108 - Rat);Ttc12(1303264 - Rat);Ttc14(1310045 - Rat);Ttll1(1309124 - Rat);Tulp4(1564487 - Rat);U2af1(1584190 - Rat);Ubash3a(1310305 - Rat);Ube2g2(1304860 - Rat);Umodl1(1566039 - Rat);Vsx2(621215 - Rat);Wdr4(1585179 - Rat);Xk(1359650 - Rat);Ybey(1308722 - Rat);Zbtb21(1310841 - Rat);Zfp410(1305636 - Rat);Zmynd10(1303250 - Rat);Zup1(1307672 - Rat)		term
Primary congenital glaucoma	DOID:0050593	8	Cyp1b1(2460 - Rat);Flt1(2621 - Rat);Foxc1(1589718 - Rat);Kdr(2965 - Rat);Ltbp2(68380 - Rat);Myoc(620430 - Rat);Tek(620980 - Rat);Tyr(1589755 - Rat)		term
Primary congenital glaucoma	HP:0008007	0			term
Primary cutaneous amyloidosis	DOID:0050639	5	Apoe(2138 - Rat);Gpnmb(71008 - Rat);Gsn(1303089 - Rat);Il31ra(1586478 - Rat);Osmr(1302983 - Rat)		term
Primary cutaneous anaplastic large cell lymphoma	DOID:9002390	0			term
Primary effusion lymphoma	DOID:9000035	0			term
Primary failure of tooth eruption	DOID:0111341	1	Pth1r(3442 - Rat)		term
Primary hyperoxaluria	DOID:2977	19	Agxt(2073 - Rat);Ankmy1(1595229 - Rat);Aqp12a(1562727 - Rat);Capn10(69354 - Rat);Cops9(1596701 - Rat);Dusp28(1595220 - Rat);Gpc1(61853 - Rat);Gpr35(1309404 - Rat);Gpt(621720 - Rat);Grhpr(1308851 - Rat);Hdac4(619979 - Rat);Hoga1(1310475 - Rat);Kif1a(1304996 - Rat);Mocos(1308496 - Rat);Ndufa10(727968 - Rat);Or6b2(1332746 - Rat);Otos(708465 - Rat);Prr21(9102085 - Rat);Rnpepl1(1595210 - Rat)		term
Primary hyperoxaluria type 1	DOID:0111670	16	Agxt(2073 - Rat);Ankmy1(1595229 - Rat);Aqp12a(1562727 - Rat);Capn10(69354 - Rat);Cops9(1596701 - Rat);Dusp28(1595220 - Rat);Gpc1(61853 - Rat);Gpr35(1309404 - Rat);Gpt(621720 - Rat);Hdac4(619979 - Rat);Kif1a(1304996 - Rat);Ndufa10(727968 - Rat);Or6b2(1332746 - Rat);Otos(708465 - Rat);Prr21(9102085 - Rat);Rnpepl1(1595210 - Rat)		term
Primary hyperoxaluria type 2	DOID:0111671	1	Grhpr(1308851 - Rat)		term
Primary hyperoxaluria type 3	DOID:0111672	1	Hoga1(1310475 - Rat)		term
Primary hypertrophic osteoarthropathy	DOID:14283	2	Hpgd(620087 - Rat);Slco2a1(3051 - Rat)		term
Primary orthostatic tremor	DOID:9008955	0			term
Primary peritoneal carcinoma	HP:0030406	0			term
Primary pigmented nodular adrenocortical disease	DOID:0060280	6	Dsc2(1309426 - Rat);Gnas(2716 - Rat);Pde11a(621793 - Rat);Pde8b(735041 - Rat);Prkaca(3389 - Rat);Prkar1a(3391 - Rat)		term
Primary progressive aphasia	DOID:9008293	3	Grn(61983 - Rat);Prnp(3410 - Rat);Tbk1(1588588 - Rat)		term
Primary sclerosing cholangitis	DOID:0060643	11	Abcb4(620248 - Rat);Cftr(2332 - Rat);Dnase1(2510 - Rat);Gnrhr(70513 - Rat);Krt18(619935 - Rat);Mir155(7489038 - Rat);Mir200b(2325552 - Rat);RT1-Bb(3469 - Rat);Tnf(3876 - Rat);Vdr(3959 - Rat);Vegfa(619991 - Rat)		term
